trade_number,direction,entry_time,entry_price,exit_time,exit_price,duration_minutes,stop_loss,profit_target,position_size,gross_pnl,net_pnl,pnl_percentage,transaction_costs,is_winner,exit_reason,triggered_by,risk_amount,reward_amount,position_high,position_low,baseline_before,baseline_after,cumulative_pnl,running_win_rate,entry_time_str,exit_time_str,account_balance_before,account_balance_after
18,LONG,2008-01-03 14:10:00,1450.60,2008-01-03 14:15:00,1451.47,5.00,1448.42,1451.47,4.66,81.16,76.16,15.23,5.00,True,PROFIT_TARGET,HIGH 1451.55 >= TARGET 1451.47,202.90,81.16,1451.55,1450.18,1449.10,1451.47,221.31,77.78,01/03 14:10,01/03 14:15,10145.15,10221.31
19,SHORT,2008-01-03 14:15:00,1451.29,2008-01-03 14:30:00,1450.42,15.00,1453.47,1450.42,4.70,81.77,76.77,15.35,5.00,True,PROFIT_TARGET,LOW 1450.33 <= TARGET 1450.42,204.43,81.77,1451.99,1450.33,1451.47,1450.42,298.08,78.95,01/03 14:15,01/03 14:30,10221.31,10298.08
20,LONG,2008-01-03 14:30:00,1450.78,2008-01-03 14:40:00,1451.65,10.00,1448.60,1451.65,4.73,82.38,77.38,15.48,5.00,True,PROFIT_TARGET,HIGH 1451.72 >= TARGET 1451.65,205.96,82.38,1451.72,1450.17,1450.42,1451.65,375.47,80.00,01/03 14:30,01/03 14:40,10298.08,10375.47
21,SHORT,2008-01-03 14:40:00,1450.50,2008-01-03 14:55:00,1449.63,15.00,1452.68,1449.63,4.77,83.00,78.00,15.60,5.00,True,PROFIT_TARGET,LOW 1449.28 <= TARGET 1449.63,207.51,83.00,1450.98,1449.28,1451.65,1449.63,453.47,80.95,01/03 14:40,01/03 14:55,10375.47,10453.47
22,SHORT,2008-01-03 15:00:00,1449.01,2008-01-03 15:15:00,1448.14,15.00,1451.18,1448.14,4.81,83.63,78.63,15.73,5.00,True,PROFIT_TARGET,LOW 1446.54 <= TARGET 1448.14,209.07,83.63,1449.87,1446.54,1449.63,1448.14,532.10,81.82,01/03 15:00,01/03 15:15,10453.47,10532.10
23,SHORT,2008-01-03 15:15:00,1446.70,2008-01-03 15:25:00,1445.83,10.00,1448.87,1445.83,4.85,84.26,79.26,15.85,5.00,True,PROFIT_TARGET,LOW 1443.73 <= TARGET 1445.83,210.64,84.26,1446.73,1443.73,1448.14,1445.83,611.36,82.61,01/03 15:15,01/03 15:25,10532.10,10611.36
24,SHORT,2008-01-03 15:25:00,1444.27,2008-01-03 15:40:00,1446.44,15.00,1446.44,1443.40,4.90,-212.23,-217.23,-43.45,5.00,False,STOP_LOSS,HIGH 1447.04 >= STOP 1446.44,212.23,84.89,1447.04,1443.89,1445.83,1446.44,394.13,79.17,01/03 15:25,01/03 15:40,10611.36,10394.13
25,LONG,2008-01-03 15:40:00,1446.82,2008-01-03 15:45:00,1447.69,5.00,1444.65,1447.69,4.79,83.15,78.15,15.63,5.00,True,PROFIT_TARGET,HIGH 1447.94 >= TARGET 1447.69,207.88,83.15,1447.94,1446.67,1446.44,1447.69,472.28,80.00,01/03 15:40,01/03 15:45,10394.13,10472.28
26,SHORT,2008-01-03 15:45:00,1446.98,2008-01-03 16:00:00,1447.17,15.00,1449.15,1446.11,4.82,-18.33,-23.33,-4.67,5.00,False,END_OF_SESSION,Session end at 16:00 - position forced closed,209.45,83.78,1447.30,1446.21,1447.69,1447.17,448.95,76.92,01/03 15:45,01/03 16:00,10472.28,10448.95
27,SHORT,2008-01-04 10:00:00,1429.35,2008-01-04 10:05:00,1431.49,5.00,1431.49,1428.49,4.87,-208.98,-213.98,-42.80,5.00,False,STOP_LOSS,HIGH 1431.78 >= STOP 1431.49,208.98,83.59,1431.78,1429.35,1447.17,1431.49,234.97,74.07,01/04 10:00,01/04 10:05,10448.95,10234.97
28,LONG,2008-01-04 10:05:00,1431.78,2008-01-04 10:10:00,1429.63,5.00,1429.63,1432.64,4.77,-204.70,-209.70,-41.94,5.00,False,STOP_LOSS,LOW 1429.12 <= STOP 1429.63,204.70,81.88,1431.79,1429.12,1431.49,1429.63,25.27,71.43,01/04 10:05,01/04 10:10,10234.97,10025.27
29,LONG,2008-01-04 10:10:00,1429.82,2008-01-04 10:15:00,1427.68,5.00,1427.68,1430.68,4.67,-200.51,-205.51,-41.10,5.00,False,STOP_LOSS,LOW 1427.41 <= STOP 1427.68,200.51,80.20,1429.93,1427.41,1429.63,1427.68,-180.24,68.97,01/04 10:10,01/04 10:15,10025.27,9819.76
30,SHORT,2008-01-04 10:15:00,1427.41,2008-01-04 10:25:00,1426.55,10.00,1429.55,1426.55,4.59,78.56,73.56,14.71,5.00,True,PROFIT_TARGET,LOW 1425.26 <= TARGET 1426.55,196.40,78.56,1428.92,1425.26,1427.68,1426.55,-106.68,70.00,01/04 10:15,01/04 10:25,9819.76,9893.32
31,SHORT,2008-01-04 10:25:00,1425.40,2008-01-04 10:30:00,1424.54,5.00,1427.54,1424.54,4.63,79.15,74.15,14.83,5.00,True,PROFIT_TARGET,LOW 1424.48 <= TARGET 1424.54,197.87,79.15,1426.04,1424.48,1426.55,1424.54,-32.53,70.97,01/04 10:25,01/04 10:30,9893.32,9967.47
32,LONG,2008-01-04 10:30:00,1426.04,2008-01-04 10:35:00,1426.90,5.00,1423.90,1426.90,4.66,79.74,74.74,14.95,5.00,True,PROFIT_TARGET,HIGH 1427.14 >= TARGET 1426.90,199.35,79.74,1427.14,1424.95,1424.54,1426.90,42.21,71.88,01/04 10:30,01/04 10:35,9967.47,10042.21
33,SHORT,2008-01-04 10:35:00,1425.10,2008-01-04 10:45:00,1424.24,10.00,1427.24,1424.24,4.70,80.34,75.34,15.07,5.00,True,PROFIT_TARGET,LOW 1422.74 <= TARGET 1424.24,200.84,80.34,1426.93,1422.74,1426.90,1424.24,117.55,72.73,01/04 10:35,01/04 10:45,10042.21,10117.55
